Model,Scenarij,DPMO PREJ,Sigma PREJ,DPMO POTEM,Sigma POTEM,Izboljšava (ΔSigma)
LogisticRegression,General_Health +1,264072.13741075905,0.6308413326830551,170905.44106457723,0.9505932782834573,0.3197519456004022
LogisticRegression,Diabetes izboljšanje,264072.13741075905,0.6308413326830551,243172.36243544705,0.696134304639891,0.06529297195683592
LogisticRegression,BMI -2,264072.13741075905,0.6308413326830551,259863.04252804714,0.6437676950662139,0.012926362383158807
LogisticRegression,Teža -5%,264072.13741075905,0.6308413326830551,267018.50382865744,0.6218553185924653,-0.008986014090589745
